,RESPONSE,LABEL
0,interaksiberadaptasi terhadap lingkungan yang baru,1
1,seperti jatuhnya meteor tsunami gempa bumi,0
2,hanya tuhan yang tahu tantangan nya itu apaan,0
3,mereka akan sulit beradaptasi,1
4,tempat tinggal ekonomi dan pekerjaan,1
5,akan terganggu dengan kesehatannya karena merekanperlu beradaptasi dengan lingkungan yang baru,1
6,mereka tidak akan di hormat oleh orang layaknya mereka di hormat di dalam tempat tinggal mereka yang lama,0
7,mereka akan kehilangan lahan pertanian,1
8,pada kasus-kasus seperti salah satunya yang terjadi di travina warga mungkin dipaksa untuk menjadi pengungsi iklim pengungsi iklim adalah orangorang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,0
9,mendapat musibah dan melawannya,0
10,karena mereka butuh tempat tinggal baru,1
11,akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam,0
12,mereka akan pindah ke tempat yang dulu,0
13,beradaptasi,1
14,pengungsi iklim ini orangorang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,0
15,karena mereka tidak mau terkena iklim yang sangat beser,0
16,keadaan yang tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya makanya mereka tidak bebas melakukan sesuatu,1
17,pengungsi iklim adalah orangorang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,0
18,fkjgrioejtklejtdfljlkgr,0
19,merasa aneh,0
20,satu tantangan yang akan dihadapi pengungsi adalah kehilangan pekerjaan mereka yaitu pekerjaan bertani atau nelayan dan itulah salah satu pencaharian mereka selama menetap di travina,1
21,akan terjadinya perubahan tempat,0
22,"karena,akan ada bencana alam yang akan datang",0
23,mereka perlu adaptasi dan harus rela berpisah dengan tempat lamanya yang kemungkinan lahan tersebut akan hilang,1
24,"tidak terjamin dengan semua kebutuhannya, dan sulit untuk beradaptasi dengan tempat baru",1
25,orangorang yang terpaksa meninggalkan komunitas atau negaranya karena bercanda lingkungan,0
26,mereka tidak akan mudah menyesuaikan hidup mereka di tempat baru,1
27,mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,1
28,tidak mempunyai tempat yang tetap,1
29,masalah yang dapatdidapatkan oleh pengungsi itu adalah penggunaan bahasa dan pencarian lapangan kerja tempat tinggal,1
30,mereka akan kehilangan lahan pertanian sektor pariwisata dan perikanan dan tempat tinggal mereka,1
31,penderitaan panas nya cuaca iklim,0
32,warga di travina akan mengalami bencana yang besar dan disebabkan oleh perubahan iklim .,0
33,mereka akan meninggalkan negaranya dan mereka akan menjadi pengungsi yang membutuhkan bantuan dari negara lain mereka juga membutuhkan negara mana yang harus menjadi pengungsi,0
34,tantangannya adalah mereka harus beradaptasi lagi dengan lingkungan barunya,1
35,akan terjadi lama proses adaptasi yang dilakukan oleh para pengungsi iklim tersebut,1
36,komunitas dan negara,0
37,tantangan pengungsi iklim adalah lahan pekerjaan yang ia tempati dulu akan hilang karena ia harus meninggalkan negaranya karena bencana lingkungan yang ada di negaranya,1
38,beradaptasi dengan lingkungan yang baru,1
39,tantangannya adalah akan meninggalkan tempat tinggal dan perkebunan yang dimiliki,0
40,sulit mencari lahan pertanian,0
41,harus mencari tempat untuk bekerja membangun rumah dan berkenalan dengan orang asing,1
42,penyesuaian lingkungan dan masalah imigrasi seperti amerika yang menolak imigran/pendatang dari luar,1
43,kehilangan segalanya,1
44,sebagian dari mereka akan kehilangan lahan dan keluarganya.,1
45,sulit beradaptasi dengan wilayah barunya,1
46,ia susah untuk beradaptasi,1
47,mereka harus bisa beradaptasi dengan lingkungan barunya,1
48,kalau tidak pindah kita terkena bencana,0
49,pengisi iklim adalah orang orang yang terpaksa meninggalkan komunikasi atau negaranya karena karena bencana,1
50,mereka harus beradaptasi dengan tempat tersebut dan harus merelakan rumah dan harta nya tenggelam,1
51,tantangan yang pasti akan dihadapi oleh orangorang travina menjadi pengungsi iklim adalah barunya berbaur dengan baik sesuai dengan aturan dan tatanan yang ada ditempati baru yang akan tinggali,1
52,pengungsi iklim,0
53,mereka akan beradaptasi dengan tempat mereka yang baru dan mereka harus menerima keadaan tempat mereka yang baru serta menjalani cara hidup yang baru ditempati tersebut,1
54,akan kehilangan komunitas dan negaranya,1
55,kehidupan yang tidak sama dengan kehidupan yang biasa mereka jalani di negaranya,0
