,RESPONSE,LABEL
0,karena orang berpikir bahwa jika disumbangkan akan membuat produksi pakaian menjadi lebih beretika,1
1,pakaian awet adalah alternatif terhadap fast fashion pakaian awet lebih mahal biaya produksi dan harga berlinyak tetapi karena pakaian itu dibuat untuk bertahan lebih lama maka yang dibuat pun menjadi lebih sedikit kita sebagai konsumen harus menolak tren fast fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika,0
2,karena orang lebih suka menyumbang,1
3,karana harga nya terjangkau dan pas,0
4,kereta harganya mahal .,0
5,agar orang yang memerlukan juga bisa mempunyai baju seperti kita,0
6,karena melihat kondisi para pegawai,0
7,karena dia kasihan,1
8,karena memiliki pakaian yang melebihi atau sudah tidak layak dipakai pribadi,0
9,karena mereka prihatin dengan para pekerja yang bekerja di sebuah pabrik pakaian warna pabrik pakaian tersebut sudah ingin bangkrut,1
10,karena menyumbang itu harus di lakukan karena wajib dan akan mendapatkan yang lebih untuk orang yang menyumbang,1
11,mereka memilih untuk menyumbang karena mereka ingin memakai pakaian yang ber etika,1
12,"? karena kegiatan menyumbang lebih utama dan termasuk hal yang mewajibkan untuk orang ada,sedangkan membeli pakaian tidak terlalu perlu asal kita sudah mempunyai pakaian yang cukup",1
13,karena orang orang masih peduli terhadap sesama,1
14,karena kondisi di sebuah pabrik pakaian yang sangat mengejutkan,1
15,karena dari pada dibuang lebih baik disumbangkan ke masyarakat yang tidak mampu miskin,1
16,karena mungkin mereka sadar bahwa banyak orang yang penghasilan nya sedikit dan kerja banting tulang hanya untuk makan sehari-hari.,1
17,karena menyumbang itu lebih bermanfaat dari pada di buang,0
18,karena dari pada pakaian di buang lebih baik di sumbangkan,1
19,karena menyumbang itu sama dengar shodaqoh juga itu bagi yang mampu dan hatinya ikhlas,0
20,karena kondisi pekerja sangat memungkinkan,1
21,karena sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,0
22,karena menyumbang suatu hal yang sangat bagus dan memberikan amal,1
23,karena lebih banyak konsumen yang menyumbang akan menjadi hemat dengan masalah keuangan dan akan membuat produksi pakaian menjadi lebih beretika,1
24,karena mengetahui kondisi kerja di sebuah pabrik pakaian,1
25,karena pakaian yang tidak dipakai lagi lebih baik disumbangkan dari pada dibuang di tempat sampah,0
26,karena dia tidak mau bekerja,0
27,karena jika banyak yang tidak terpakai akan mudasir,0
28,karena t sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,1
29,karena yang tak terpakai lebih beretika,0
30,karena lebih yakin dalam menyumbangkan uangnya setelah melihat gambar yang ditampilkan perusahaan tersebut,1
31,karena kalo sumbangkan lebih berguna ketika dibuang begitu saja maka dari itu orang memilih lebih banyak disumbangkan,0
32,karena melihat kondisi kerja yang buruk di sebuah pabrik para konsumen lebih memilih menyumbang daripada membelinya dengan harga 2 euro,1
33,karena konsumen lebih memilih membuat produksi pakaian lebih beretika daripada harus melanjutkan pembelian,1
34,karena menyumbang dapat membantu pakir miskin yang sangat membutuhkan dan mendapat pahala,0
35,karena dengan menyumbang kita dapat membantu pabrik yang telah dalam masalah tersebut agar dapat beroperasi dengan baik lagi,1
36,untuk membuat toko tersebut lebih bagus lagi dan lebih complete,0
37,karena banyak yang membunuh kan,0
38,karena membuat produksi pakaian menjadi lebih beretika,1
39,karena dapat bermanfaat bagi sesama dan sesuai dengan etika pakaian sehingga dapat mengurangi smapah lingkungan dan polusi,1
40,sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,1
41,karena mungkin menurut mereka lebih jika sumbang untuk membuat produksi pakaian menjadi lebih beretika daripada membeli dipabrik pakaian yang tidak berprinsip pakaian beretika,1
42,karena itu akan membantu para masyarakat yang kekurangan pakaian dan lebih bermanfaat daripada membuangnya secara cuma cuma,1
43,karena sudah bosan dipakai dan lebih baik dipakai dengan orang lain,0
44,karena mereka ingin upaya untuk membuat produksi pakaian menjadi lebih beretika,1
45,"karena mereka melihat tentang kondisi kerja di sebuah pabrik pakaian,sehingga mereka berpikir dengan menyumbang mereka dapat memperbaiki keadaan tersebut",1
46,karena harga pakaian termasuk kategori murah dan mereka mengetahui kondisi kerja di sebuah pabrik tersebut,0
47,upaya untuk membuat produksi pakaian menjadi lebih beretika,1
48,agar pabrik pakaian semakin baik dan dapat memproduksi pakaian yang baik pula untuk mereka,1
49,agar pakaiannya bisa berguna bagi orang yang membutuhkan daripada harus dibuang lebih baik disumbangkan,0
50,mereka kasihan dengan kondisi pabrik pakaian,1
51,karena menurut mereka jika mereka bisa menyumbangkan 2 euro tersebut mereka berharap kondisi parik tersebut bisa diperbaiki,1
52,karena dengan menyumbang kita akan mendapat pahala dan lebih bermanfaat,1
53,agar pakaian bisa dibuat sesuai etika,0
54,"karena setelahnya, konsumen diberi pilihan apakah akan melanjutkan pembelian atau menyumbangkan 2 euro tersebut sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika",1
55,karena mungkin mereka hanya peduli pada orang yang lebih membutuhkan dan karena mungkin sebagian orang tidak mampu,0
56,karena kasihan terhadap kondisi para pekerja,0
57,"karena lebih baik menyumbang daripada yang disumbang,menyumbang kita dapat pahala atau rizki dari allah",0
58,karena untuk sedekah,0
59,dikarenakan kondisi pabrik pembuat pakaian yang mengejutkan,1
60,membuat produksi pakaian menjadi lebih beretika,1
61,kena mungkin kekecilan kebesaran,0
62,mereka memiliki rasa kepedulian terhadap sesama,1
63,tren fast fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika,0
64,karena jauh lebih bermanfaat bagi orangorang yang membutuhkannya,0
65,karena apabila pakaian tersebut di buang akan menjadi limbah oleh sebab itu apabila mempunyai pakaian yang sudah tidak di pakai lagi lebih baik di sumbangkan,0
66,karena masyarakat akan lebih memilih untuk membeli pakaian yang beretika,1
67,karena menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian membuat pembeli merasa kasihan dan berniat untuk menyumbang,1
